,Company,Industry,Entrepreneur Gender,ASK_Amount,ASK_Equity,ASK_Valuation,Barbara  Corcoran,Mark  Cuban,Lori Greiner,Robert Herjavec,Daymond John,Kevin O'Leary,Guest,# Sharks,$ per shark,Deal_No,Deal_Yes
363,Rugged Maniac,Fitness / Sports / Outdoors,Male,"$1,000,000",10.00%,"$10,000,000",0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,"$1,750,000",0,1
364,Cerebral Success,Health / Wellness,Male,"$75,000",20.00%,"$375,000",1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"$75,000",0,1
365,Mo's Bows,Fashion / Beauty,Mixed Team,"$50,000",20.00%,"$250,000",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0
366,Crio,Food and Beverage,Male,"$1,000,000",10.00%,"$10,000,000",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0
367,Angellift,Fashion / Beauty,Male,"$500,000",10.00%,"$5,000,000",0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,"$500,000",0,1
368,HangEase,Lifestyle / Home,Male,"$80,000",30.00%,"$266,667",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0
369,The Bouqs Company,Lifestyle / Home,Male,"$258,000",3.00%,"$8,600,000",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0
370,Susty Party,Lifestyle / Home,Female,"$250,000",10.00%,"$2,500,000",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0
371,Oru Kayak,Fitness / Sports / Outdoors,Male,"$500,000",12.00%,"$4,166,667",0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,"$500,000",0,1
372,Bon Affair,Food and Beverage,Female,"$150,000",35.00%,"$428,571",0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,"$150,000",0,1
373,Cinnaholic,Food and Beverage,Mixed Team,"$200,000",20.00%,"$1,000,000",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0
374,Hargitt Marine Services,Fitness / Sports / Outdoors,Male,"$250,000",25.00%,"$1,000,000",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0
375,Foot Fairy,Software / Tech,Female,"$75,000",15.00%,"$500,000",0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,"$100,000",0,1
376,BZbox,Lifestyle / Home,Female,"$50,000",20.00%,"$250,000",0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,"$50,000",0,1
377,Tie-Not,Children / Education,Male,"$125,000",10.00%,"$1,250,000",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0
378,Baker's Edge,Food and Beverage,Mixed Team,"$400,000",20.00%,"$2,000,000",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0
379,Sleeping Baby,Children / Education,Mixed Team,"$200,000",10.00%,"$2,000,000",0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,"$200,000",0,1
380,Bombas,Fashion / Beauty,Male,"$200,000",5.00%,"$4,000,000",0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,"$200,000",0,1
381,Hammer & Nails,Fashion / Beauty,Male,"$200,000",20.00%,"$1,000,000",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0
382,Amber,Software / Tech,Male,"$200,000",20.00%,"$1,000,000",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0
383,Kronos,Fitness / Sports / Outdoors,Male,"$150,000",15.00%,"$1,000,000",0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,"$150,000",0,1
384,Roominate,Children / Education,Female,"$500,000",5.00%,"$10,000,000",0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,"$250,000",0,1
385,The Floating Mug Co.,Lifestyle / Home,Male,"$75,000",15.00%,"$500,000",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0
386,Wedding Wagon,Lifestyle / Home,Male,"$125,000",20.00%,"$625,000",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0
387,Heart Pup,Pet Products,Female,"$25,000",10.00%,"$250,000",0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,"$50,000",0,1
388,SoapSox,Children / Education,Male,"$260,000",10.00%,"$2,600,000",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0
389,Ninja Cards,Children / Education,Male,"$60,000",30.00%,"$200,000",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0
390,DrumPants,Fashion / Beauty,Mixed Team,"$150,000",5.00%,"$3,000,000",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0
391,Paper Box Pilots,Children / Education,Male,"$35,000",25.00%,"$140,000",0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,"$35,000",0,1
392,Reviver,Lifestyle / Home,Male,"$150,000",5.00%,"$3,000,000",0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,"$150,000",0,1
393,FunCakes Rental,Food and Beverage,Female,"$285,000",25.00%,"$1,140,000",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0
394,Table Jacks,Lifestyle / Home,Male,"$100,000",25.00%,"$400,000",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0
395,The Red Dress Boutique,Fashion / Beauty,Mixed Team,"$600,000",5.00%,"$12,000,000",0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,"$600,000",0,1
396,SunStaches,Fashion / Beauty,Male,"$300,000",5.00%,"$6,000,000",0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,"$300,000",0,1
397,Jungle JumpaRoo,Children / Education,Mixed Team,"$100,000",20.00%,"$500,000",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0
398,The Caddy Girls,Fitness / Sports / Outdoors,Female,"$100,000",20.00%,"$500,000",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0
399,Honeyfund,Software / Tech,Mixed Team,"$400,000",10.00%,"$4,000,000",0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,"$400,000",0,1
400,BeatBox Beverages,Food and Beverage,Mixed Team,"$200,000",10.00%,"$2,000,000",0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,"$1,000,000",0,1
401,Oilerie USA,Food and Beverage,Male,"$500,000",35.00%,"$1,428,571",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0
402,EmergenSee,Software / Tech,Male,"$250,000",10.00%,"$2,500,000",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0
403,Myself Belts,Children / Education,Female,"$60,000",10.00%,"$600,000",0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,"$75,000",0,1
404,Titin,Fitness / Sports / Outdoors,Male,"$500,000",5.00%,"$10,000,000",0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,"$500,000",0,1
405,SingTrix,Children / Education,Male,"$1,500,000",5.00%,"$30,000,000",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0
406,Beardbrand,Fashion / Beauty,Male,"$400,000",15.00%,"$2,666,667",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0
407,The Natural Grip,Fitness / Sports / Outdoors,Female,"$100,000",20.00%,"$500,000",0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,"$125,000",0,1
408,Bottle Breacher,Food and Beverage,Male,"$150,000",10.00%,"$1,500,000",0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,"$75,000",0,1
409,Man-Pack,Fashion / Beauty,Male,"$200,000",29.00%,"$689,655",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0
410,Priority One Canine,Pet Products,Mixed Team,"$75,000",15.00%,"$500,000",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0
411,Heidi Ho,Food and Beverage,Female,"$125,000",20.00%,"$625,000",0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,"$125,000",0,1
412,Squatty Potty,Lifestyle / Home,Mixed Team,"$350,000",5.00%,"$7,000,000",0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,"$350,000",0,1
413,Pipsnacks,Food and Beverage,Mixed Team,"$200,000",10.00%,"$2,000,000",1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"$200,000",0,1
414,Storm Stoppers,Lifestyle / Home,Male,"$100,000",10.00%,"$1,000,000",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0
415,MagicCook,Food and Beverage,Female,"$100,000",20.00%,"$500,000",0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,"$100,000",0,1
416,Earth Log,Lifestyle / Home,Male,"$160,000",20.00%,"$800,000",0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,"$160,000",0,1
417,Kitchen Safe,Food and Beverage,Male,"$100,000",5.00%,"$2,000,000",0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,"$50,000",0,1
418,Off the Cob,Food and Beverage,Male,"$100,000",15.00%,"$666,667",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0
419,Biaggi,Lifestyle / Home,Male,"$500,000",30.00%,"$1,666,667",0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,"$500,000",0,1
420,Gameday Couture,Fashion / Beauty,Mixed Team,"$500,000",20.00%,"$2,500,000",0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,"$500,000",0,1
421,Zipz,Food and Beverage,Male,"$2,500,000",10.00%,"$25,000,000",0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,"$2,500,000",0,1
422,Soaps Washes and Grooming Essentials (aka S.W.A.G. Essentials),Fashion / Beauty,Female,"$125,000",20.00%,"$625,000",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0
423,Hoppy Paws,Lifestyle / Home,Female,"$50,000",10.00%,"$500,000",1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"$100,000",0,1
424,Q-Flex,Health / Wellness,Female,"$20,000",20.00%,"$100,000",1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,"$12,500",0,1
425,The Mensch on a Bench,Lifestyle / Home,Male,"$150,000",10.00%,"$1,500,000",0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,"$75,000",0,1
